iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,pooling_strategy,dropout_rate,fc_nodes,input_shape,lr
1,EI,-0.12,0.12,256,32,5,5,3,max,0.3,256,"(3, 32, 32)",0.008967376801947965
2,EI,-0.16,0.16,32,128,5,3,4,mac,0.4,128,"(3, 32, 32)",0.0037525283395739802
3,EI,-0.06,0.06,64,32,5,3,2,mac,0.3,1024,"(3, 32, 32)",0.038003292140452
4,EI,-0.1,0.1,128,64,3,5,3,max,0.2,128,"(3, 32, 32)",0.011214774784159465
5,EI,-0.15,0.15,128,256,3,3,2,mac,0.3,128,"(3, 32, 32)",0.00012414804282743954
6,EI,-0.12,0.12,256,64,3,5,3,max,0.4,512,"(3, 32, 32)",0.03416658290996048
7,EI,-0.29,0.29,128,128,5,5,3,max,0.3,128,"(3, 32, 32)",0.0018629639119246224
8,EI,-0.15,0.15,64,64,3,3,3,mac,0.4,1024,"(3, 32, 32)",0.055574943088396514
9,EI,-0.18,0.18,256,64,3,3,3,mac,0.4,256,"(3, 32, 32)",0.001408577102296383
10,EI,-0.26,0.26,256,256,5,3,3,max,0.4,128,"(3, 32, 32)",0.0004028632082859626
11,EI,-0.29,0.29,128,128,5,5,4,max,0.3,128,"(3, 32, 32)",0.0017696218805770374
12,EI,-0.29,0.29,256,128,5,3,3,max,0.3,256,"(3, 32, 32)",0.0001457957164947478
13,EI,-0.12,0.12,256,128,5,5,4,mac,0.3,512,"(3, 32, 32)",0.014829846291835449
14,EI,-0.08,0.08,64,128,5,5,3,max,0.4,256,"(3, 32, 32)",0.0623990950667971
15,EI,-0.25,0.25,32,128,5,5,4,max,0.3,256,"(3, 32, 32)",0.0003344677184358898
16,EI,-0.08,0.08,256,128,5,5,3,max,0.3,1024,"(3, 32, 32)",0.00557725394027516
17,EI,-0.3,0.3,128,128,5,3,4,max,0.3,256,"(3, 32, 32)",0.0005323342299561578
18,EI,-0.32,0.32,128,256,5,5,3,max,0.5,128,"(3, 32, 32)",0.000869165054037253
19,EI,-0.1,0.1,128,64,5,3,4,max,0.5,256,"(3, 32, 32)",0.04632056175274017
20,EI,-0.1,0.1,128,128,3,3,3,max,0.5,256,"(3, 32, 32)",0.09066235865528122
21,EI,-0.17,0.17,128,32,5,5,2,max,0.5,128,"(3, 32, 32)",0.0001
22,EI,-0.26,0.26,64,256,3,5,2,max,0.5,128,"(3, 32, 32)",0.0007030329668430419
23,EI,-0.25,0.25,128,256,5,3,4,max,0.2,512,"(3, 32, 32)",0.0001792122208162968
24,EI,-0.33,0.33,32,256,5,5,3,max,0.5,128,"(3, 32, 32)",0.0007677387033585399
25,EI,-0.24,0.24,128,128,5,3,2,max,0.3,128,"(3, 32, 32)",0.0001
26,EI,-0.16,0.16,32,256,5,5,3,max,0.5,512,"(3, 32, 32)",0.0028973770840809536
27,EI,-0.18,0.18,32,256,5,5,3,mac,0.2,128,"(3, 32, 32)",0.0027427643516367453
28,EI,-0.26,0.26,32,32,5,5,4,max,0.4,128,"(3, 32, 32)",0.0009766153025334186
29,EI,-0.32,0.32,32,64,5,5,2,max,0.5,128,"(3, 32, 32)",0.0006485145096536059
30,EI,-0.34,0.34,32,256,5,5,4,max,0.5,128,"(3, 32, 32)",0.0021818155054322773
